map_ID,no_np,dir,lon,lat
250,111,zapad,32.3186,56.8325
1682,112,jug,37.9265,53.0783
1467,112,sever,37.094,60.553
3888,112,severo-zapad,29.6555,58.8305
2419,112,vostok,41.1407,56.1966
253,112,zapad,32.5598,56.8095
1472,113,sever,37.8101,60.5359
58,113,severo-zapad,29.0602,58.7029
2423,113,vostok,41.4657,56.2412
335,113,zapad,32.9039,56.8175
1469,114,sever,37.3983,60.4605
60,114,severo-zapad,29.3259,58.7152
2609,114,vostok,41.8061,56.1503
241,114,zapad,32.1628,56.6571
1675,115,jug,38.1632,53.5325
1468,115,sever,37.2785,60.3869
3889,115,severo-zapad,29.6712,58.7197
2417,115,vostok,41.0836,56.0819
240,115,zapad,32.6151,56.6798
1679,116,jug,38.4934,53.5446
1470,116,sever,37.6422,60.3715
59,116,severo-zapad,29.1099,58.6136
2418,116,vostok,41.2494,56.0433
334,116,zapad,32.8642,56.6366
1820,117,jug,38.7701,53.5456
1471,117,sever,37.3386,60.2957
3890,117,severo-zapad,29.7037,58.656
2610,117,vostok,41.5883,56.0854
239,117,zapad,32.3438,56.5957
1816,118,jug,38.9655,53.4748
1480,118,sever,38.0216,60.2266
54,118,severo-zapad,29.1009,58.5302
2615,118,vostok,41.7492,56.0231
238,118,zapad,32.4908,56.559
1674,119,jug,38.2003,53.3865
1477,119,sever,37.2487,60.1238
55,119,severo-zapad,29.3383,58.5266
2611,119,vostok,41.9588,56.0558
333,119,zapad,32.6935,56.5641
1815,120,jug,38.5807,53.444
1435,120,sever,37.0557,60.0773
3882,120,severo-zapad,29.6604,58.5587
2596,120,vostok,42.1746,56.8137
235,120,zapad,32.2806,56.4832
1814,121,jug,38.778,53.4331
1478,121,sever,37.3775,60.0085
3891,121,severo-zapad,29.9339,58.5623
2814,121,vostok,42.4629,56.7779
237,121,zapad,32.6343,56.4679
1684,122,jug,38.1732,53.2552
1479,122,sever,37.6533,60.004
56,122,severo-zapad,29.5176,58.4517
2815,122,vostok,42.5651,56.8727
233,122,zapad,32.0202,56.3865
1685,123,jug,38.3704,53.3135
1998,123,sever,38.5258,60.9521
3892,123,severo-zapad,29.88,58.5094
2817,123,vostok,42.7944,56.849
326,123,zapad,32.8691,56.4163
1813,124,jug,38.7225,53.327
1997,124,sever,38.8156,60.9484
57,124,severo-zapad,29.6709,58.3815
